Staphylothermus_marinus_F1_Complete_GCF000015945v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Desulfurococcales<F>Desulfurococcaceae<G>Staphylothermus<S>Staphylothermus_marinus
Ignicoccus_islandicus_DSM_13165_WGS_GCF001481685v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Desulfurococcales<F>Desulfurococcaceae<G>Ignicoccus<S>Ignicoccus_islandicus
Ignicoccus_hospitalis_KIN4_I_Complete_GCF000017945v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Desulfurococcales<F>Desulfurococcaceae<G>Ignicoccus<S>Ignicoccus_hospitalis
Pyrolobus_fumarii_1A_Complete_GCF000223395v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Desulfurococcales<F>Pyrodictiaceae<G>Pyrolobus<S>Pyrolobus_fumarii
Pyrodictium_delaneyi_Strain_Su06_WGS_GCF001412615v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Desulfurococcales<F>Pyrodictiaceae<G>Pyrodictium<S>Pyrodictium_delaneyi
Hyperthermus_butylicus_DSM_5456_Complete_GCF000015145v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Desulfurococcales<F>Pyrodictiaceae<G>Hyperthermus<S>Hyperthermus_butylicus
Caldisphaera_lagunensis_DSM_15908_Complete_GCF000317795v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Acidilobales<F>Caldisphaeraceae<G>Caldisphaera<S>Caldisphaera_lagunensis
Acidilobus_saccharovorans_345_15_Complete_GCF000144915v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Acidilobales<F>Acidilobaceae<G>Acidilobus<S>Acidilobus_saccharovorans
Acidianus_brierleyi_Strain_DSM_1651_WGS_GCF003201835v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Acidianus<S>Acidianus_brierleyi
Acidianus_sulfidivorans_JP7_WGS_GCF003201765v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Acidianus<S>Acidianus_sulfidivorans
Metallosphaera_cuprina_Ar_4_Complete_GCF000204925v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Metallosphaera<S>Metallosphaera_cuprina
Metallosphaera_hakonensis_Strain_HO1_1_WGS_GCF003201675v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Metallosphaera<S>Metallosphaera_hakonensis
Metallosphaera_sedula_Strain_CuR1_WGS_GCF000747605v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Metallosphaera<S>Metallosphaera_sedula
Metallosphaera_sedula_Strain_SARC_M1_WGS_GCF001266735v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Metallosphaera<S>Metallosphaera_sedula
Metallosphaera_sedula_Strain_ARS50_2_WGS_GCF001266675v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Metallosphaera<S>Metallosphaera_sedula
Metallosphaera_sedula_Strain_ARS50_1_WGS_GCF001266655v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Metallosphaera<S>Metallosphaera_sedula
Metallosphaera_sedula_Strain_ARS120_2_WGS_GCF001266715v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Metallosphaera<S>Metallosphaera_sedula
Metallosphaera_sedula_Strain_ARS120_1_WGS_GCF001266695v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Metallosphaera<S>Metallosphaera_sedula
Metallosphaera_sedula_DSM_5348_Complete_GCF000016605v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Metallosphaera<S>Metallosphaera_sedula
Sulfolobus_acidocaldarius_Strain_Y14_18_5_WGS_GCF002215405v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Sulfolobus<S>Sulfolobus_acidocaldarius
Sulfolobus_acidocaldarius_Strain_NG05B_CO5_07_WGS_GCF001481635v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Sulfolobus<S>Sulfolobus_acidocaldarius
